日期,客户ID,产品类别,评分,反馈内容,情感
2025-06-01,C001,电子产品,5,产品质量很好，性能稳定，非常满意,正面
2025-06-02,C002,服装,4,款式不错，但尺码偏大了一点,中性
2025-06-03,C003,食品,3,包装还可以，但配送速度有点慢,负面
2025-06-04,C004,家居,5,设计精美，安装简单，推荐购买,正面
2025-06-05,C005,电子产品,2,收到后发现有瑕疵，客服响应慢,负面
2025-06-06,C006,服装,5,面料舒适，颜色正，物超所值,正面
2025-06-07,C007,食品,4,味道不错，但价格有点贵,中性
2025-06-08,C008,家居,5,质量超出预期，很实用,正面
2025-06-09,C009,电子产品,4,功能齐全，续航时间可以,正面
2025-06-10,C010,服装,1,质量太差，洗一次就褪色了,负面
2025-06-11,C011,食品,5,新鲜度很好，包装精致,正面
2025-06-12,C012,家居,3,性价比一般，设计可以改进,中性
2025-06-13,C013,电子产品,5,技术先进，用户体验很好,正面
2025-06-14,C014,服装,4,做工精细，但颜色与图片有差异,中性
2025-06-15,C015,食品,2,保质期太短，收到时快过期了,负面
2025-06-16,C016,家居,5,环保材料，无异味，很放心,正面
2025-06-17,C017,电子产品,3,功能还行，但操作有点复杂,中性
2025-06-18,C018,服装,5,版型很好，上身效果极佳,正面
2025-06-19,C019,食品,4,口味丰富，营养均衡,正面
2025-06-20,C020,家居,2,安装困难，说明书不清楚,负面
